S121C	2025-05-22 16:53:05
value unit [W]	time unit [ms]
wavelength	525.000nm
range	AUTO
4.238458E-07	146361
4.241598E-07	146661
4.224262E-07	146961
4.243519E-07	147261
4.261636E-07	147561
4.248647E-07	147861
4.267133E-07	148161
4.238831E-07	148461
4.269191E-07	148761
4.269796E-07	149061
4.254820E-07	149361
4.322447E-07	149661
4.742787E-07	149961
4.730034E-07	150261
4.735395E-07	150563
4.683119E-07	150863
4.732731E-07	151163
4.706191E-07	151463
4.728954E-07	151763
4.722544E-07	152063
4.746057E-07	152368
4.744101E-07	152668
4.678055E-07	152968
4.683587E-07	153268
4.751655E-07	153568
4.682475E-07	153868
4.745485E-07	154168
4.682610E-07	154468
4.716104E-07	154768
4.718704E-07	155068
4.714217E-07	155368
4.725952E-07	155668
4.728011E-07	155968
4.722005E-07	156268
4.689292E-07	156568
4.710945E-07	156868
4.733506E-07	157168
4.702985E-07	157468
4.677886E-07	157769
4.683084E-07	158069
4.719240E-07	158369
4.723119E-07	158669
4.706626E-07	158969
4.726255E-07	159269
4.707200E-07	159569
5.240422E-07	159869
5.228215E-07	160169
5.271224E-07	160469
5.271660E-07	160769
5.236245E-07	161069
5.273717E-07	161369
5.258571E-07	161669
5.266803E-07	161969
5.259145E-07	162269
5.212834E-07	162569
5.271053E-07	162869
5.256920E-07	163169
5.265421E-07	163469
5.263059E-07	163769
5.267716E-07	164069
5.274055E-07	164369
5.253887E-07	164669
5.186392E-07	164971
5.270248E-07	165271
5.289369E-07	165571
5.179884E-07	165871
5.275743E-07	166171
5.237999E-07	166471
5.300162E-07	166771
5.263095E-07	167071
5.243360E-07	167371
5.234828E-07	167671
5.200288E-07	167971
5.276009E-07	168271
5.249804E-07	168571
5.290011E-07	168871
5.289502E-07	169171
5.242989E-07	169471
5.534310E-07	169771
5.772473E-07	170071
5.762358E-07	170371
5.721944E-07	170671
5.741139E-07	170971
5.748353E-07	171271
5.747008E-07	171571
5.733311E-07	171871
5.722860E-07	172171
5.743667E-07	172472
5.741680E-07	172773
5.733650E-07	173072
5.703735E-07	173373
5.711289E-07	173672
5.717897E-07	173973
5.700998E-07	174272
5.757805E-07	174573
5.733414E-07	174872
5.770783E-07	175173
5.729569E-07	175472
5.720191E-07	175773
5.717459E-07	176072
5.708217E-07	176373
5.708018E-07	176672
5.712132E-07	176973
5.723278E-07	177537
5.724277E-07	177837
5.725510E-07	178137
5.726571E-07	178437
5.723211E-07	178737
5.724032E-07	179037
5.725329E-07	179337
5.782483E-07	179637
6.143269E-07	179939
6.211836E-07	180239
