S121C	2025-05-23 11:31:16
value unit [W]	time unit [ms]
wavelength	525.000nm
range	AUTO
6.213047E-08	177747
6.202244E-08	178047
6.227125E-08	178347
6.267594E-08	178647
6.240285E-08	178947
6.237176E-08	179247
6.204127E-08	179547
6.259187E-08	179850
6.207955E-08	180150
6.186630E-08	180450
6.176207E-08	180750
6.213491E-08	181050
6.222036E-08	181350
6.242062E-08	181650
6.518182E-08	181956
6.265443E-08	182256
6.274188E-08	182556
6.250603E-08	182856
6.249613E-08	183156
6.286866E-08	183456
6.253173E-08	183756
6.281844E-08	184056
6.309698E-08	184356
6.605472E-08	184656
6.653728E-08	184956
6.599181E-08	185256
6.612200E-08	185556
6.612199E-08	185856
6.623139E-08	186156
6.638036E-08	186456
6.605466E-08	186756
6.698667E-08	187057
6.673554E-08	187357
6.616165E-08	187657
6.599488E-08	187957
6.605057E-08	188257
6.557247E-08	188557
6.560595E-08	188857
6.651096E-08	189157
6.622116E-08	189457
6.613709E-08	189757
6.652467E-08	190057
6.627580E-08	190357
6.646273E-08	190657
6.618970E-08	190957
6.630831E-08	191257
6.649964E-08	191557
6.640944E-08	191857
6.617600E-08	192157
6.610522E-08	192457
6.610833E-08	192757
6.607792E-08	193057
6.629326E-08	193357
6.608506E-08	193657
6.578848E-08	193957
6.596685E-08	194257
6.902125E-08	194559
7.075234E-08	194859
7.070718E-08	195159
7.053663E-08	195459
7.043962E-08	195759
7.055410E-08	196059
7.074343E-08	196359
7.097480E-08	196659
7.093997E-08	196959
7.101004E-08	197259
7.074281E-08	197559
7.112007E-08	197859
7.101246E-08	198159
7.086651E-08	198459
7.146594E-08	198759
7.151280E-08	199059
7.141954E-08	199359
7.070417E-08	199659
7.114978E-08	199959
7.073908E-08	200259
7.087608E-08	200559
7.075506E-08	200859
7.091808E-08	201159
7.084564E-08	201459
7.081386E-08	201760
7.087405E-08	202060
7.093582E-08	202360
7.062209E-08	202660
7.111160E-08	202960
7.075575E-08	203260
7.114095E-08	203560
7.109374E-08	203860
7.093826E-08	204160
7.282590E-08	204460
7.518310E-08	204760
7.493592E-08	205060
7.501385E-08	205360
7.492577E-08	205660
7.532493E-08	205960
7.466222E-08	206260
7.486177E-08	206560
7.503333E-08	206860
7.533108E-08	207160
7.468307E-08	207460
7.465879E-08	207760
7.460306E-08	208060
7.508527E-08	208360
7.524183E-08	208660
7.506686E-08	208960
7.387201E-08	209261
7.503260E-08	209561
7.501320E-08	209861
7.544350E-08	210161
7.540896E-08	210461
7.506480E-08	210761
7.502514E-08	211061
7.894288E-08	211368
7.530577E-08	211668
7.491110E-08	211968
7.504395E-08	212268
7.528870E-08	212568
7.481529E-08	212868
7.481434E-08	213168
7.470630E-08	213468
7.489089E-08	213768
7.483035E-08	214068
7.507952E-08	214368
7.845529E-08	214668
7.863841E-08	214968
7.924538E-08	215268
7.941831E-08	215568
7.920468E-08	215868
7.924235E-08	216168
7.744010E-08	216469
7.890432E-08	216769
7.935914E-08	217069
7.899420E-08	217369
7.920122E-08	217669
7.930721E-08	217969
7.942197E-08	218269
7.866640E-08	218569
7.946751E-08	218869
7.937964E-08	219169
7.944399E-08	219469
7.932231E-08	219769
7.935059E-08	220069
7.900417E-08	220369
7.901737E-08	220669
7.866435E-08	220969
7.914113E-08	221269
7.890218E-08	221569
7.892071E-08	221869
7.900820E-08	222169
7.918522E-08	222469
7.903419E-08	222769
7.963225E-08	223069
7.892412E-08	223369
7.981102E-08	223670
7.944522E-08	223970
7.915106E-08	224270
8.168317E-08	224570
8.304274E-08	224870
8.304592E-08	225170
8.262174E-08	225470
8.291633E-08	225770
8.291694E-08	226070
8.244021E-08	226370
8.334458E-08	226670
8.302707E-08	226970
8.284017E-08	227270
8.295569E-08	227570
8.349935E-08	227870
8.282616E-08	228170
8.333434E-08	228470
8.266618E-08	228770
8.302950E-08	229070
8.305980E-08	229370
8.356135E-08	229670
8.305785E-08	229970
8.322527E-08	230270
8.302160E-08	230570
8.369012E-08	230870
8.187494E-08	231172
8.330250E-08	231472
8.355342E-08	231772
8.343785E-08	232072
8.348228E-08	232372
8.296073E-08	232672
8.339452E-08	232972
8.295658E-08	233272
8.336774E-08	233572
8.321742E-08	233872
8.363537E-08	234172
8.489275E-08	234472
8.773367E-08	234772
8.732928E-08	235072
8.753224E-08	235372
8.722171E-08	235672
8.739215E-08	235972
8.689837E-08	236272
8.739455E-08	236572
8.718777E-08	236872
8.757569E-08	237172
8.708226E-08	237472
8.696463E-08	237772
8.727227E-08	238072
8.714296E-08	238374
8.734262E-08	238674
8.756994E-08	238974
8.773228E-08	239274
8.741029E-08	239574
